,2010.1,2010.2,2010.3,2010.4,2011.1,2011.2,2011.3,2011.4,2012.1,2012.2,2012.3,2012.4,2013.1,2013.2,2013.3,2013.4,2014.1,2014.2,2014.3,2014.4,2015.1,2015.2,2015.3,2015.4,2016.1,2016.2,2016.3,2016.4,2017.1,2017.2,2017.3,2017.4,2018.1,2018.2
规模以上工业增加值增速,26.5,26.3,23.6,23.6,19.9,20.0,20.7,21.1,17.1,16.5,16.0,16.2,15.2,14.5,13.7,13.7,13.0,12.4,11.3,11.2,9.0,8.7,8.7,8.6,8.5,8.5,8.6,8.8,8.4,8.6,8.8,9.0,8.6,8.9
规模以下工业增加值增速,4.4,6.2,6.5,9.0,16.0,16.0,16.0,11.9,11.8,11.2,11.0,10.5,10.4,10.8,10.9,10.7,9.7,8.0,9.0,8.6,8.3,7.5,7.4,7.5,7.1,7.5,7.4,7.6,7.0,6.5,7.4,7.4,7.8,7.8
建筑业现价增长速度,23.3,23.0,22.4,22.1,23.5,22.2,22.4,21.1,17.8,14.5,13.2,10.4,12.3,7.0,7.0,7.0,7.0,6.8,6.5,7.5,5.8,4.9,5.1,3.7,3.7,4.0,3.9,5.0,12.0,11.2,12.6,13.0,13.7,14.3
铁路运输总周转量增速,7.2,8.3,7.0,6.0,0.0,-0.3,-0.3,0.3,-1.5,-1.7,-2.5,-3.6,-3.4,-5.0,-2.0,-1.7,-2.8,-0.6,-1.1,-1.2,-6.3,-0.5,-6.3,-0.7,-2.0,-0.9,0.5,1.6,6.3,6.9,6.4,5.9,1.7,1.1
公路运输总周转量增速,17.0,15.4,16.3,17.6,21.2,21.9,22.4,22.3,16.8,17.2,18.0,18.7,18.2,17.8,16.1,16.0,,11.9,13.1,12.8,7.8,5.5,0.6,-1.5,0.1,2.0,2.9,3.7,1.2,3.6,4.4,4.9,3.0,4.0
水上运输总周转量增速,13.6,10.8,5.5,3.1,31.0,20.3,19.3,16.8,-3.0,15.7,21.8,23.1,26.1,16.5,13.2,14.3,,6.5,8.1,7.8,11.7,12.2,10.0,9.7,21.5,9.6,6.8,7.0,13.3,9.5,6.3,4.9,-5.6,-5.5
邮政业务总量增速,17.1,17.3,17.0,18.7,44.3,38.5,38.1,38.1,20.4,21.8,23.8,25.2,19.4,21.4,23.2,25.1,34.5,37.3,38.0,37.9,42.0,43.4,43.1,45.4,47.4,41.1,45.5,49.4,43.9,43.1,45.1,43.6,27.7,31.0
金融机构人民币存贷款余额增速,23.2,22.0,24.2,23.1,22.0,20.0,17.4,19.2,16.7,17.9,19.4,18.5,20.0,19.5,18.9,16.7,15.3,15.7,13.5,13.3,13.2,12.5,13.3,14.7,16.2,15.5,18.6,19.59439247,18.3,17.1,13.6,13.6,11.8,11.9
证券交易额增速,52.9,-0.9,-10.8,-1.2,14.0,10.1,9.5,-19.8,-28.8,-23.4,-24.1,-20.4,27.0,21.0,42.8,51.5,9.0,3.4,19.1,57.1,158.5,322.9,249.0,233.9,2.2,-34.8,-34.4,-31.8,-2.4,-0.4,0.8,7.4,26.7,16.7
保费收入增速,31.0,30.0,27.8,25.4,14.8,12.9,11.5,10.4,-0.5,-0.8,2.9,3.4,-9.5,-0.7,4.0,6.9,45.7,32.3,24.7,19.2,15.6,22.4,23.9,116.7,36.0,29.7,26.9,25.3,28.0,28.8,28.1,27.6,-16.4,-2.7
商品房销售面积增速,31.8,24.5,7.7,2.1,19.4,11.4,20.6,11.4,-9.0,-6.3,-3.9,4.8,42.0,44.0,36.2,29.8,5.0,2.9,-0.3,-1.0,-13.4,-5.7,-0.8,-0.5,25.0,40.1,47.3,37.7,21.6,12.5,6.5,8.2,10.0,9.2
电信业务总量增速,27.9,27.9,23.3,20.0,23.3,23.1,24.9,26.8,16.9,12.0,11.6,12.5,8.4,10.2,9.6,9.8,14.4,12.7,13.3,15.2,19.8,23.1,25.2,25.8,46.2,46.1,47.3,53.8,49.2,53.8,58.3,67.9,109.6,132.0
社会消费品零售总额,18.7,19.1,19.2,19.2,17.2,17.8,18.0,18.0,16.7,16.0,15.8,16.0,13.5,13.6,13.7,14.0,12.9,13.1,13.0,13.0,12.3,12.1,12.1,12.0,12.0,12.1,12.2,12.3,11.9,12.0,11.7,11.9,11.6,12.0
全部财政收入,37.9,35.3,31.7,33.0,39.8,35.9,34.3,27.6,17.6,14.8,13.8,14.9,12.2,10.8,10.6,11.2,11.2,11.2,10.0,8.9,6.2,9.3,10.7,9.5,9.6,8.8,8.9,9.0,9.5,12.3,12.1,11.1,17.9,14.7
财政支出,18.4,22.1,24.6,20.8,41.6,39.4,37.4,27.6,37.9,28.6,23.0,19.19,17.5,10.4,9.7,9.9,6.6,11.3,11.7,7.2,8.4,16.2,21.9,12.1,23.0,14.8,10.7,5.6,19.1,16.05,13.0,12.3,14.7,10.2
居民价格消费指数,2.2,2.5,2.6,3.1,5.1,5.7,5.9,5.6,3.6,2.9,2.4,2.3,2.1,2.2,2.3,2.4,2.0,1.8,1.7,1.6,1.0,1.2,1.4,1.3,2.2,1.8,1.7,1.8,1.1,1.2,1.2,1.2,2.1,1.7
工业品出厂价格指数,9.1,9.2,8.6,9.0,9.8,9.7,9.8,8.3,0.3,-0.4,-1.5,-1.7,-1.9,-2.2,-2.0,-1.8,-2.1,-2.3,-2.2,-2.6,-5.4,-5.4,-5.8,-6.1,-6.0,-4.8,-3.6,-1.5,9.6,8.7,8.5,8.0,3.7,3.8
第一产业,4.5,4.5,4.8,4.5,2.3,3.0,3.0,4.0,3.1,4.3,5.1,5.5,4.0,3.0,3.6,3.5,3.6,3.9,4.5,4.6,3.7,3.2,3.8,4.2,3.2,2.7,2.8,2.7,2.5,2.8,3.3,4.0,3.8,3.6
地区生产总值,14.8779545870563,15.4,14.7,14.5333834856385,13.8310892742096,13.4103866041258,14.3069208389891,13.4612804089827,12.2722505101359,11.9797185162493,11.9517502720144,12.0988080269128,11.1509337174422,10.8515588645881,10.6636199601023,10.3507404290473,9.60251845286303,9.32000722530486,9.1,9.2001771499669,8.6,8.6,8.7,8.7,8.6,8.6,8.717792804916,8.7,8.35133360491971,8.5,8.3,8.5,8.1,8.3
